,effective-born-radii
0,0.35618625
1,0.55450987
2,0.27957504
3,0.39269060
4,0.61702319
5,0.52881182
6,0.54790914
7,0.34420539
8,0.44579073
9,0.53380038
10,0.86707158
11,0.32506831
12,0.53899111
13,0.30818016
14,0.25941995
15,0.44426009
16,0.40916624
17,0.46222117
18,0.61045554
19,0.53543578
20,0.50326535
21,0.35870564
22,0.57309115
23,0.27178234
24,0.39028383
25,0.60428518
26,0.53109967
27,0.64038605
28,0.33220090
29,0.34292625
30,0.53522456
31,0.84927773
32,0.30765579
33,0.50969536
34,0.30381658
35,0.29472127
36,0.43609976
37,0.41877725
38,0.51822851
39,0.61358772
40,0.56637266
41,0.87484072
42,0.35378175
43,0.56846863
44,0.27385704
45,0.37843566
46,0.59192012
47,0.53694909
48,0.59157507
49,0.34338601
50,0.41336504
51,0.53241750
52,0.87014291
53,0.31289884
54,0.51838055
55,0.29490463
56,0.26277555
57,0.42601758
58,0.41164148
59,0.51064707
60,0.57366618
61,0.57643208
62,0.80929142
63,0.35133210
64,0.56200951
65,0.28461666
66,0.38823036
67,0.60521913
68,0.54344843
69,0.52549859
70,0.34961013
71,0.45799698
72,0.53257868
73,0.87168984
74,0.31123434
75,0.49738161
76,0.29951297
77,0.27044059
78,0.43566305
79,0.41336863
80,0.48490638
81,0.58274449
82,0.58340782
83,0.82493814
84,0.35265495
85,0.56667480
86,0.29203428
87,0.38930161
88,0.60534636
89,0.54328373
90,0.67902595
91,0.35813874
92,0.47330681
93,0.52970614
94,0.87977742
95,0.31729632
96,0.52309067
97,0.30835373
98,0.26826158
99,0.45166548
100,0.39968335
101,0.41244239
102,0.59462860
103,0.54227641
104,0.57063482
105,0.35808555
106,0.56169543
107,0.28003726
108,0.38854814
109,0.60796521
110,0.53796437
111,0.56900298
112,0.34896797
113,0.46242169
114,0.53313233
115,0.91790935
116,0.31534909
117,0.50852319
118,0.30328900
119,0.27188804
120,0.42330518
121,0.40929532
122,0.44924830
123,0.60554662
124,0.57046460
125,0.89000574
126,0.35713145
127,0.56908191
128,0.27546598
129,0.39092503
130,0.61029431
131,0.52386030
132,0.50593870
133,0.33325448
134,0.32042146
135,0.52674711
136,0.84864220
137,0.32012572
138,0.53002912
139,0.30568022
140,0.27104129
141,0.44875057
142,0.41718245
143,0.51757864
144,0.58051677
145,0.57053195
146,0.95560027
147,0.38078297
148,0.51255271
149,0.49606285
150,0.51435489
151,0.23760574
152,0.25335552
153,0.23188225
154,0.24908779
155,0.23208215
156,0.32700190
157,0.43716485
158,0.41293900
159,0.38558642
160,0.62848917
161,0.35238637
162,0.55119817
163,0.49007722
164,0.23772081
165,0.23977266
166,0.23646342
167,0.46817644
168,0.75963137
