,effective-born-radii
0,0.36082571
1,0.56429544
2,0.28339766
3,0.39151317
4,0.60031939
5,0.54039791
6,0.61310064
7,0.34715032
8,0.45578125
9,0.53498473
10,0.88245178
11,0.31473576
12,0.51435975
13,0.29236476
14,0.24899767
15,0.42721974
16,0.40481101
17,0.52123476
18,0.56595737
19,0.56446480
20,0.94652264
21,0.35540088
22,0.56907383
23,0.28511108
24,0.38770190
25,0.60260524
26,0.54052306
27,0.54761123
28,0.36023746
29,0.49656056
30,0.54183602
31,0.86117858
32,0.30932336
33,0.50467068
34,0.29281818
35,0.24961506
36,0.42769333
37,0.39678496
38,0.44664018
39,0.57800578
40,0.55993034
41,0.91549374
42,0.36342891
43,0.56773256
44,0.28058837
45,0.39324729
46,0.59505663
47,0.54287969
48,0.52939934
49,0.35171528
50,0.47402601
51,0.53196013
52,0.87099068
53,0.29957583
54,0.47726916
55,0.29138256
56,0.25384105
57,0.42948402
58,0.39716725
59,0.46757025
60,0.58156040
61,0.56800140
62,0.83400247
63,0.35830895
64,0.57127061
65,0.29290766
66,0.38521966
67,0.58969989
68,0.54488156
69,0.80391354
70,0.36003730
71,0.46860013
72,0.54180449
73,0.92139071
74,0.31115082
75,0.50417826
76,0.29634120
77,0.25378328
78,0.43299298
79,0.40066967
80,0.47341386
81,0.56815268
82,0.55845719
83,0.92382718
84,0.35196292
85,0.56463913
86,0.30781095
87,0.39641828
88,0.61260681
89,0.54895076
90,0.75951643
91,0.36459565
92,0.51416769
93,0.54293395
94,0.90482438
95,0.32109628
96,0.52516697
97,0.30111669
98,0.25089959
99,0.43379108
100,0.39253897
101,0.39027960
102,0.60230163
103,0.52398761
104,0.43501992
105,0.35993559
106,0.57441660
107,0.28280451
108,0.38877631
109,0.61098289
110,0.54054862
111,0.53121728
112,0.36355383
113,0.48980040
114,0.55176253
115,0.92045542
116,0.32210118
117,0.52615055
118,0.29426303
119,0.25393455
120,0.44183207
121,0.39497576
122,0.45005368
123,0.56570957
124,0.55909923
125,0.92443488
126,0.39751517
127,0.52095370
128,0.53608372
129,0.27053202
130,0.27923747
131,0.28319823
132,0.22214745
133,0.22549983
134,0.23284100
135,0.25525185
136,0.28152449
137,0.26528818
138,0.36284604
139,0.40338530
140,0.60291105
141,0.37848526
