,x,y,z,atomic-charge,atomic-radius,effective-born-radii
0,14.294,11.954,19.073,1.00,0.00,0.34880687
1,13.247,11.616,18.974,1.00,0.00,0.56435270
2,14.322,13.365,19.667,1.00,0.00,0.27158718
3,14.971,10.959,20.014,1.00,0.00,0.38491531
4,15.125,10.048,19.432,1.00,0.00,0.58315888
5,14.246,10.644,21.184,1.00,0.00,0.56012831
6,14.472,11.229,21.911,1.00,0.00,0.86096258
7,16.287,11.487,20.342,1.00,0.00,0.33306094
8,16.120,12.464,20.799,1.00,0.00,0.34380687
9,16.936,10.710,21.226,1.00,0.00,0.52647497
10,16.766,9.798,20.979,1.00,0.00,0.86831506
11,17.171,11.552,19.038,1.00,0.00,0.30534485
12,17.433,10.500,18.904,1.00,0.00,0.50305083
13,16.405,12.116,17.782,1.00,0.00,0.30115926
14,16.569,13.181,17.956,1.00,0.00,0.25898148
15,14.952,11.791,17.840,1.00,0.00,0.42364996
16,17.087,11.980,16.406,1.00,0.00,0.40618392
17,18.008,12.558,16.308,1.00,0.00,0.46276116
18,16.388,12.339,15.647,1.00,0.00,0.59686375
19,17.262,10.532,16.139,1.00,0.00,0.57311884
20,18.073,10.538,15.625,1.00,0.00,0.92403275
21,12.158,17.020,19.306,1.00,0.00,0.35482692
22,11.360,17.781,19.241,1.00,0.00,0.56008286
23,13.414,17.729,19.619,1.00,0.00,0.26834291
24,11.849,16.185,20.549,1.00,0.00,0.37655435
25,10.855,15.793,20.324,1.00,0.00,0.59630183
26,11.669,16.934,21.701,1.00,0.00,0.53235881
27,12.553,17.233,21.926,1.00,0.00,0.63242732
28,12.844,14.963,20.699,1.00,0.00,0.32356726
29,13.822,15.276,21.070,1.00,0.00,0.30626372
30,12.282,14.069,21.710,1.00,0.00,0.53578120
31,12.377,14.474,22.574,1.00,0.00,0.88133429
32,13.103,14.164,19.381,1.00,0.00,0.31433685
33,12.243,13.501,19.267,1.00,0.00,0.52954607
34,13.399,15.116,18.279,1.00,0.00,0.29463491
35,14.283,15.716,18.508,1.00,0.00,0.24262984
36,12.273,16.139,18.142,1.00,0.00,0.44068060
37,13.618,14.431,16.956,1.00,0.00,0.38749565
38,14.618,14.012,17.091,1.00,0.00,0.36472646
39,13.639,15.185,16.166,1.00,0.00,0.56598687
40,12.628,13.391,16.730,1.00,0.00,0.54934827
41,12.517,13.327,15.779,1.00,0.00,0.93336480
42,15.139,21.514,18.793,1.00,0.00,0.34274952
43,15.156,22.572,18.475,1.00,0.00,0.54123231
44,16.463,21.020,19.275,1.00,0.00,0.28461127
45,14.142,21.427,19.861,1.00,0.00,0.38178785
46,13.202,21.874,19.531,1.00,0.00,0.60164237
47,14.609,22.256,20.982,1.00,0.00,0.54519566
48,14.935,23.080,20.613,1.00,0.00,0.86517209
49,13.907,20.083,20.367,1.00,0.00,0.34717252
50,14.840,19.721,20.805,1.00,0.00,0.44415325
51,12.871,20.114,21.379,1.00,0.00,0.54001946
52,13.128,19.539,22.103,1.00,0.00,0.84589582
53,13.480,19.160,19.184,1.00,0.00,0.30049257
54,12.432,19.424,19.031,1.00,0.00,0.48551647
55,14.258,19.300,17.895,1.00,0.00,0.29699405
56,15.232,18.845,18.087,1.00,0.00,0.25773077
57,14.595,20.734,17.640,1.00,0.00,0.41896623
58,13.729,18.652,16.697,1.00,0.00,0.39366485
59,13.735,17.567,16.824,1.00,0.00,0.40896793
60,14.357,18.877,15.832,1.00,0.00,0.58894555
61,12.394,19.160,16.448,1.00,0.00,0.56072155
62,11.835,18.442,16.142,1.00,0.00,0.89602042
63,20.451,21.282,18.566,1.00,0.00,0.35527741
64,21.524,21.494,18.404,1.00,0.00,0.55686914
65,20.295,19.809,18.719,1.00,0.00,0.27877058
66,19.971,21.999,19.835,1.00,0.00,0.38977423
67,20.032,23.066,19.613,1.00,0.00,0.59763731
68,20.731,21.668,20.967,1.00,0.00,0.54344682
69,20.334,22.097,21.728,1.00,0.00,0.86808137
70,18.536,21.550,20.108,1.00,0.00,0.34957321
71,18.579,20.472,20.279,1.00,0.00,0.43999638
72,18.114,22.201,21.306,1.00,0.00,0.55079844
73,17.265,21.805,21.516,1.00,0.00,0.74840236
74,17.607,21.887,18.987,1.00,0.00,0.31101399
75,17.302,22.936,19.014,1.00,0.00,0.49782190
76,18.166,21.578,17.582,1.00,0.00,0.31831176
77,17.967,20.535,17.329,1.00,0.00,0.36756396
78,19.676,21.785,17.469,1.00,0.00,0.43659186
79,17.482,22.547,16.558,1.00,0.00,0.43288899
80,16.436,22.234,16.565,1.00,0.00,0.53887480
81,17.865,22.336,15.557,1.00,0.00,0.63576984
82,17.626,23.932,16.823,1.00,0.00,0.57480242
83,17.219,24.487,16.155,1.00,0.00,0.97733450
84,22.475,16.326,18.451,1.00,0.00,0.35791924
85,23.236,15.526,18.413,1.00,0.00,0.55879237
86,21.223,15.600,18.724,1.00,0.00,0.27771650
87,22.788,17.188,19.624,1.00,0.00,0.38481461
88,23.786,17.606,19.478,1.00,0.00,0.60366999
