,effective-born-radii
0,0.36140683
1,0.57573229
2,0.28234180
3,0.38620104
4,0.60417694
5,0.54639449
6,0.61647805
7,0.34246026
8,0.39669663
9,0.52991434
10,0.92293561
11,0.31697835
12,0.53013235
13,0.29137894
14,0.23676655
15,0.43115709
16,0.38051914
17,0.42326356
18,0.53381015
19,0.55374300
20,0.90061222
21,0.35323626
22,0.57026001
23,0.27039673
24,0.38409249
25,0.59137048
26,0.54543367
27,0.55143302
28,0.34257692
29,0.39042604
30,0.54403020
31,0.81105004
32,0.30698764
33,0.50588436
34,0.28960576
35,0.24710290
36,0.43692394
37,0.39561257
38,0.44321861
39,0.56619865
40,0.56748038
41,0.96888593
42,0.36110578
43,0.56611892
44,0.28734113
45,0.39503031
46,0.61058372
47,0.54584850
48,0.61396350
49,0.34011297
50,0.42716412
51,0.52068234
52,0.85768072
53,0.31037814
54,0.51240720
55,0.28471522
56,0.24212921
57,0.42766487
58,0.38667462
59,0.40745963
60,0.58378703
61,0.54960106
62,0.76975450
63,0.35311890
64,0.56547572
65,0.29027525
66,0.39385632
67,0.61411564
68,0.54519519
69,0.65422568
70,0.35624058
71,0.46736599
72,0.54570571
73,0.88425239
74,0.32375708
75,0.53781882
76,0.29755806
77,0.25063738
78,0.42544821
79,0.40223851
80,0.43930597
81,0.60503328
82,0.55349442
83,0.90262083
84,0.34934757
85,0.57221629
86,0.28399882
87,0.38343446
88,0.60182463
89,0.54016239
90,0.56836204
91,0.35718464
92,0.47155348
93,0.55003973
94,0.84383050
95,0.31727164
96,0.51543823
97,0.29353670
98,0.24938983
99,0.41582819
100,0.40962339
101,0.48365100
102,0.58061031
103,0.56556513
104,0.84544496
105,0.35835826
106,0.56855875
107,0.27921852
108,0.39102306
109,0.60589230
110,0.54646762
111,0.59909548
112,0.35013525
113,0.40745077
114,0.53925659
115,0.87252056
116,0.30966867
117,0.49567941
118,0.29120425
119,0.24152364
120,0.44024819
121,0.37789012
122,0.38640165
123,0.53200452
124,0.55347802
125,0.89750412
126,0.42974997
127,0.53401880
128,0.63604681
129,0.56268227
130,0.29350604
131,0.35625264
132,0.33472624
133,0.21702729
134,0.22797489
135,0.22391805
136,0.20794631
137,0.21844058
138,0.21747523
139,0.23163528
140,0.24290574
141,0.24607070
142,0.31010218
143,0.39349706
144,0.43195210
145,0.37194339
146,0.52157227
147,0.54544895
148,0.42306989
149,0.59361850
150,0.59368472
151,0.49995460
152,0.65075194
153,0.66656952
154,0.65561490
