,effective-born-radii
0,0.36691756
1,0.57111061
2,0.29345923
3,0.39644056
4,0.60847814
5,0.54930259
6,0.71057913
7,0.35021619
8,0.44195226
9,0.54096927
10,0.92588784
11,0.31416988
12,0.51735667
13,0.29852138
14,0.25154130
15,0.43058245
16,0.40221906
17,0.42657595
18,0.59302652
19,0.55292395
20,0.76009195
21,0.34517141
22,0.54500383
23,0.26458969
24,0.38341308
25,0.60713984
26,0.53115174
27,0.72834478
28,0.34287097
29,0.36415074
30,0.54500877
31,0.89964415
32,0.31586907
33,0.51325548
34,0.29427730
35,0.24563363
36,0.43214013
37,0.39182870
38,0.42767587
39,0.57630300
40,0.56606276
41,0.88047772
42,0.35676743
43,0.56609122
44,0.26846557
45,0.38756088
46,0.60328067
47,0.54427820
48,0.51495016
49,0.33750798
50,0.39086028
51,0.53720062
52,0.90532219
53,0.29667671
54,0.47431463
55,0.29611788
56,0.26650960
57,0.42862266
58,0.41348778
59,0.50521267
60,0.60375848
61,0.56243479
62,0.86315682
63,0.35029420
64,0.56589400
65,0.27261057
66,0.39155492
67,0.60901033
68,0.54292358
69,0.91739048
70,0.33383490
71,0.33693511
72,0.51883539
73,0.88710884
74,0.31132115
75,0.52098684
76,0.29558109
77,0.25025302
78,0.44531932
79,0.40622959
80,0.45372170
81,0.58218989
82,0.55552913
83,0.92815402
84,0.34781739
85,0.54736154
86,0.26486662
87,0.38433053
88,0.58757733
89,0.53576568
90,0.53104264
91,0.35123320
92,0.44262577
93,0.54192844
94,0.92362981
95,0.29380656
96,0.46279259
97,0.29030933
98,0.26250362
99,0.41308458
100,0.41025439
101,0.48554624
102,0.60530916
103,0.56170178
104,0.84127404
105,0.35051586
106,0.56771362
107,0.27846682
108,0.38820336
109,0.60402950
110,0.53773493
111,0.91704469
112,0.33831627
113,0.37268338
114,0.53057087
115,0.87760357
116,0.31169048
117,0.51287017
118,0.29808251
119,0.25295467
120,0.42137005
121,0.40438493
122,0.49899323
123,0.55895548
124,0.57048058
125,0.90517476
126,0.42727764
127,0.60699718
128,0.60180392
129,0.36066166
130,0.52303079
131,0.46147634
132,0.31731428
133,0.45900056
134,0.45146472
135,0.22882695
136,0.23965447
137,0.23827579
138,0.21119086
139,0.21892363
140,0.22220218
141,0.24320404
142,0.24876867
143,0.25356388
144,0.36499137
145,0.41186671
146,0.42905719
147,0.59439248
148,0.48835955
149,0.64857214
150,0.66023335
151,0.62849322
