,x,y,z,atomic-charge,atomic-radius,effective-born-radii
0,19.160,12.410,18.414,1.00,0.00,0.35839304
1,20.165,11.953,18.464,1.00,0.00,0.55294002
2,19.499,13.755,17.877,1.00,0.00,0.30245388
3,18.298,11.663,17.422,1.00,0.00,0.39637653
4,17.956,10.714,17.839,1.00,0.00,0.59587730
5,19.002,11.475,16.221,1.00,0.00,0.55947952
6,19.402,12.280,15.883,1.00,0.00,0.74170255
7,16.985,12.412,17.213,1.00,0.00,0.36770682
8,17.215,13.320,16.652,1.00,0.00,0.51031807
9,16.166,11.494,16.455,1.00,0.00,0.54609231
10,15.305,11.871,16.259,1.00,0.00,0.74182947
11,16.210,12.646,18.580,1.00,0.00,0.30897577
12,15.875,11.668,18.932,1.00,0.00,0.48833741
13,17.199,13.243,19.587,1.00,0.00,0.28034018
14,17.451,14.302,19.502,1.00,0.00,0.24407799
15,18.420,12.399,19.701,1.00,0.00,0.42438024
16,16.574,13.132,20.973,1.00,0.00,0.38955466
17,15.716,13.803,20.899,1.00,0.00,0.39682399
18,17.330,13.534,21.650,1.00,0.00,0.54142235
19,16.247,11.758,21.338,1.00,0.00,0.56326565
20,17.019,11.194,21.425,1.00,0.00,0.91630292
21,22.332,16.755,18.314,1.00,0.00,0.35418486
22,23.256,17.306,18.566,1.00,0.00,0.56795842
23,21.199,17.655,18.093,1.00,0.00,0.26931718
24,22.511,15.941,17.085,1.00,0.00,0.39230997
25,23.445,15.385,17.194,1.00,0.00,0.61067675
26,22.656,16.882,16.027,1.00,0.00,0.53615966
27,22.021,17.602,16.020,1.00,0.00,0.56808423
28,21.366,15.005,16.847,1.00,0.00,0.36449070
29,20.570,15.656,16.480,1.00,0.00,0.44700522
30,21.799,13.904,15.976,1.00,0.00,0.55679755
31,21.062,13.734,15.384,1.00,0.00,0.86794435
32,20.891,14.355,18.133,1.00,0.00,0.31249883
33,21.532,13.490,18.318,1.00,0.00,0.50079747
34,20.837,15.234,19.343,1.00,0.00,0.29061421
35,20.000,15.932,19.274,1.00,0.00,0.24324290
36,22.093,15.892,19.443,1.00,0.00,0.43321792
37,20.640,14.494,20.571,1.00,0.00,0.38729953
38,19.573,14.263,20.537,1.00,0.00,0.38175486
39,20.865,15.092,21.456,1.00,0.00,0.57623427
40,21.427,13.255,20.623,1.00,0.00,0.55365042
41,22.349,13.520,20.574,1.00,0.00,0.88672839
42,19.997,21.625,18.600,1.00,0.00,0.34797681
43,19.956,22.699,18.857,1.00,0.00,0.54814787
44,18.623,21.003,18.305,1.00,0.00,0.26054455
45,20.905,21.378,17.408,1.00,0.00,0.38670091
46,21.856,21.849,17.665,1.00,0.00,0.60819514
47,20.369,22.032,16.190,1.00,0.00,0.54311057
48,19.436,21.807,16.217,1.00,0.00,0.52005344
49,21.027,19.883,17.137,1.00,0.00,0.33656454
50,20.076,19.488,16.775,1.00,0.00,0.37642993
51,22.099,19.811,16.159,1.00,0.00,0.53247610
52,21.710,19.974,15.297,1.00,0.00,0.90533379
53,21.424,19.109,18.352,1.00,0.00,0.30786678
54,22.486,19.246,18.567,1.00,0.00,0.50771463
55,20.605,19.511,19.612,1.00,0.00,0.29045117
56,19.560,19.259,19.421,1.00,0.00,0.24278358
57,20.630,21.014,19.746,1.00,0.00,0.43723403
58,20.937,19.065,21.050,1.00,0.00,0.39407068
59,20.622,18.039,21.254,1.00,0.00,0.46020010
60,20.570,19.811,21.758,1.00,0.00,0.57756880
61,22.268,19.012,21.264,1.00,0.00,0.55184988
62,22.833,19.756,21.042,1.00,0.00,0.88676635
63,14.675,22.138,18.460,1.00,0.00,0.36557346
64,13.690,22.578,18.701,1.00,0.00,0.57269567
65,14.514,20.723,18.344,1.00,0.00,0.27610408
66,15.433,22.577,17.206,1.00,0.00,0.39365158
67,15.657,23.643,17.132,1.00,0.00,0.61423977
68,14.630,22.173,15.993,1.00,0.00,0.53972539
69,14.079,21.418,16.210,1.00,0.00,0.54042622
70,16.696,21.779,17.158,1.00,0.00,0.32802896
71,16.366,20.744,17.040,1.00,0.00,0.37957680
72,17.356,22.095,15.872,1.00,0.00,0.52164196
73,16.839,22.794,15.464,1.00,0.00,0.85295073
74,17.579,22.112,18.331,1.00,0.00,0.31068321
75,18.039,23.101,18.287,1.00,0.00,0.51096808
76,16.808,21.922,19.715,1.00,0.00,0.30688790
77,16.751,20.834,19.787,1.00,0.00,0.26205340
78,15.465,22.478,19.633,1.00,0.00,0.44563253
79,17.589,22.396,20.877,1.00,0.00,0.41326667
80,18.517,21.828,20.969,1.00,0.00,0.49916097
81,16.898,22.185,21.696,1.00,0.00,0.59065273
82,17.850,23.765,20.843,1.00,0.00,0.56549296
83,18.267,23.950,21.688,1.00,0.00,0.93838041
84,11.490,17.805,18.799,1.00,0.00,0.36070599
85,10.475,17.468,19.075,1.00,0.00,0.58619566
86,12.377,16.705,18.407,1.00,0.00,0.29703934
87,11.365,18.800,17.567,1.00,0.00,0.39141402
88,10.538,19.474,17.795,1.00,0.00,0.60853852
89,11.142,18.141,16.307,1.00,0.00,0.54772703
90,11.892,17.566,16.141,1.00,0.00,0.75459571
91,12.763,19.484,17.376,1.00,0.00,0.34236070
92,13.483,18.741,17.029,1.00,0.00,0.44118176
93,12.448,20.442,16.381,1.00,0.00,0.52400436
