,effective-born-radii
0,0.35231477
1,0.55788572
2,0.32473878
3,0.38799168
4,0.59138850
5,0.54737734
6,0.66458888
7,0.36715676
8,0.51864937
9,0.53769342
10,0.87004177
11,0.31458854
12,0.50671536
13,0.29637993
14,0.28673206
15,0.43351296
16,0.39272555
17,0.42769887
18,0.57994181
19,0.56516804
20,0.95022423
21,0.36803891
22,0.58156276
23,0.31687897
24,0.38781104
25,0.59328685
26,0.55338683
27,0.73399840
28,0.36727588
29,0.53211588
30,0.54027904
31,0.84778394
32,0.32031609
33,0.51796065
34,0.30476761
35,0.27786645
36,0.45804224
37,0.40359746
38,0.47092861
39,0.59624080
40,0.54455283
41,0.88934483
42,0.35232988
43,0.54775974
44,0.28080206
45,0.39768451
46,0.61024906
47,0.54341069
48,0.51682556
49,0.35329215
50,0.51041074
51,0.53417401
52,0.86550572
53,0.32139110
54,0.52108855
55,0.29695959
56,0.26238128
57,0.42849525
58,0.40213592
59,0.61799333
60,0.43568241
61,0.52415400
62,0.72460911
63,0.36746323
64,0.58849108
65,0.28541628
66,0.38918226
67,0.59449179
68,0.54595892
69,0.53456773
70,0.35602805
71,0.47893202
72,0.53267667
73,0.87923582
74,0.31013336
75,0.51040126
76,0.29880154
77,0.26551440
78,0.44224237
79,0.40835186
80,0.50966375
81,0.60130113
82,0.54589451
83,0.88864579
84,0.34137203
85,0.54776665
86,0.26590959
87,0.38543223
88,0.58385067
89,0.53550757
90,0.53569382
91,0.33917659
92,0.37471695
93,0.53953615
94,0.85211629
95,0.30946882
96,0.50638444
97,0.27860900
98,0.24280894
99,0.39948606
100,0.39150478
101,0.46391639
102,0.54086658
103,0.57393913
104,0.88491438
105,0.36515582
106,0.57628576
107,0.28016748
108,0.39373915
109,0.59702913
110,0.54234899
111,0.62751724
112,0.33070251
113,0.37407534
114,0.52276445
115,0.87369020
116,0.30525331
117,0.50799064
118,0.29749978
119,0.25128254
120,0.44370720
121,0.39931996
122,0.43247581
123,0.59350387
124,0.55579766
125,0.92668393
126,0.35803452
127,0.58312626
128,0.29705689
129,0.38823217
130,0.58755872
131,0.55390349
132,0.55968784
133,0.35599440
134,0.49685935
135,0.53540864
136,0.92556751
137,0.29892237
138,0.47171628
139,0.28817490
140,0.25808023
141,0.43479486
142,0.39457727
143,0.44991241
144,0.59046258
145,0.55608976
146,0.93878674
147,0.42730874
148,0.58720144
149,0.50729313
150,0.34904738
151,0.42743667
152,0.49154288
153,0.25304610
154,0.25955753
155,0.27500184
156,0.28575622
157,0.29608025
158,0.32292715
159,0.32788995
160,0.44984815
161,0.26226217
162,0.26266314
163,0.42329611
164,0.55054651
165,0.63847415
166,0.51629124
