,x,y,z,atomic-charge,atomic-radius,effective-born-radii
0,19.088,12.378,19.298,1.00,0.00,0.36758045
1,19.946,11.696,19.441,1.00,0.00,0.58971095
2,19.447,13.799,19.115,1.00,0.00,0.28151680
3,18.326,11.904,18.069,1.00,0.00,0.38629097
4,17.974,10.885,18.242,1.00,0.00,0.59370198
5,19.163,11.979,16.902,1.00,0.00,0.53216585
6,19.640,12.812,16.928,1.00,0.00,0.51152828
7,17.141,12.687,17.749,1.00,0.00,0.35245279
8,17.356,13.749,17.610,1.00,0.00,0.45703384
9,16.487,12.141,16.577,1.00,0.00,0.53543054
10,16.406,11.187,16.637,1.00,0.00,0.87377291
11,16.204,12.588,18.966,1.00,0.00,0.31701185
12,15.727,11.606,19.006,1.00,0.00,0.52021014
13,16.904,13.031,20.256,1.00,0.00,0.30559450
14,17.137,14.089,20.118,1.00,0.00,0.26833188
15,18.129,12.266,20.389,1.00,0.00,0.44910274
16,16.017,12.807,21.502,1.00,0.00,0.41511591
17,15.191,13.520,21.540,1.00,0.00,0.48223779
18,16.709,13.025,22.318,1.00,0.00,0.60121442
19,15.403,11.519,21.513,1.00,0.00,0.56596379
20,14.476,11.713,21.670,1.00,0.00,0.86337458
21,22.451,16.658,18.498,1.00,0.00,0.35471910
22,23.427,17.173,18.447,1.00,0.00,0.56246229
23,21.350,17.615,18.402,1.00,0.00,0.28240645
24,22.342,15.646,17.436,1.00,0.00,0.38691946
25,23.240,15.025,17.458,1.00,0.00,0.60695721
26,22.372,16.376,16.259,1.00,0.00,0.52789183
27,22.475,17.315,16.430,1.00,0.00,0.55296757
28,20.996,14.941,17.547,1.00,0.00,0.35063478
29,20.164,15.643,17.457,1.00,0.00,0.45515639
30,21.089,13.967,16.464,1.00,0.00,0.53496516
31,21.304,14.499,15.695,1.00,0.00,0.84816153
32,20.935,14.154,18.877,1.00,0.00,0.32384963
33,21.626,13.338,19.101,1.00,0.00,0.52527548
34,21.173,15.129,19.961,1.00,0.00,0.30470919
35,20.345,15.841,19.944,1.00,0.00,0.26610159
36,22.402,15.973,19.756,1.00,0.00,0.43816989
37,21.149,14.543,21.344,1.00,0.00,0.41385107
38,20.246,13.966,21.556,1.00,0.00,0.52918227
39,21.228,15.362,22.062,1.00,0.00,0.58743278
40,22.311,13.702,21.512,1.00,0.00,0.57471262
41,22.388,13.237,22.348,1.00,0.00,0.97738810
42,20.511,21.571,18.349,1.00,0.00,0.36386067
43,20.419,22.670,18.274,1.00,0.00,0.56955165
44,19.129,20.999,18.268,1.00,0.00,0.29040721
45,21.341,21.162,17.174,1.00,0.00,0.39661877
46,22.335,21.543,17.419,1.00,0.00,0.60620724
47,20.790,21.718,16.004,1.00,0.00,0.54652626
48,19.890,22.043,16.083,1.00,0.00,0.58037206
49,21.271,19.653,17.132,1.00,0.00,0.35487260
50,20.317,19.183,16.881,1.00,0.00,0.48550528
51,22.173,19.223,16.131,1.00,0.00,0.53262567
52,21.968,19.616,15.279,1.00,0.00,0.90127697
53,21.777,19.018,18.466,1.00,0.00,0.31032603
54,22.862,19.131,18.516,1.00,0.00,0.49958415
55,21.169,19.597,19.729,1.00,0.00,0.30213216
56,20.154,19.221,19.878,1.00,0.00,0.26723872
57,21.150,21.068,19.647,1.00,0.00,0.45358832
58,21.901,19.243,20.966,1.00,0.00,0.41049546
59,21.782,18.159,21.024,1.00,0.00,0.46855370
60,21.426,19.612,21.877,1.00,0.00,0.59586776
61,23.328,19.549,20.938,1.00,0.00,0.57284884
62,23.807,19.217,21.701,1.00,0.00,0.97248446
63,15.058,22.382,18.480,1.00,0.00,0.35905097
64,14.259,23.110,18.707,1.00,0.00,0.57632070
65,14.576,21.030,18.055,1.00,0.00,0.31401103
66,15.914,22.958,17.372,1.00,0.00,0.39239015
67,16.187,23.982,17.635,1.00,0.00,0.60227314
68,15.298,22.990,16.113,1.00,0.00,0.55488591
69,15.360,22.103,15.750,1.00,0.00,0.82938817
70,17.290,22.223,17.212,1.00,0.00,0.36181742
71,17.186,21.229,16.771,1.00,0.00,0.51696571
72,18.198,22.966,16.322,1.00,0.00,0.53013366
73,17.703,23.339,15.590,1.00,0.00,0.88833705
74,18.007,21.920,18.521,1.00,0.00,0.31299398
75,18.388,22.802,19.040,1.00,0.00,0.50206968
76,17.059,21.380,19.553,1.00,0.00,0.28536164
77,16.742,20.389,19.223,1.00,0.00,0.25674368
78,15.869,22.286,19.731,1.00,0.00,0.41887831
79,17.614,21.292,20.929,1.00,0.00,0.37447799
80,18.490,20.643,20.876,1.00,0.00,0.39974835
81,16.841,20.951,21.621,1.00,0.00,0.51094382
82,17.995,22.623,21.407,1.00,0.00,0.56412126
83,18.519,22.680,22.210,1.00,0.00,0.96543652
84,11.723,18.110,18.744,1.00,0.00,0.35950367
85,10.837,17.495,18.985,1.00,0.00,0.55842505
86,12.923,17.281,18.500,1.00,0.00,0.28339458
87,11.534,18.896,17.463,1.00,0.00,0.38981912
88,10.659,19.512,17.680,1.00,0.00,0.59531422
89,11.300,18.055,16.324,1.00,0.00,0.54329602
90,11.954,17.352,16.294,1.00,0.00,0.53798631
91,12.654,19.883,17.217,1.00,0.00,0.36605012
92,13.484,19.483,16.630,1.00,0.00,0.53909250
93,11.990,20.852,16.411,1.00,0.00,0.55279427
94,12.554,21.301,15.777,1.00,0.00,0.87617795
95,13.216,20.601,18.418,1.00,0.00,0.32500332
96,12.528,21.437,18.562,1.00,0.00,0.53021377
97,13.357,19.672,19.666,1.00,0.00,0.29658250
98,14.171,18.999,19.391,1.00,0.00,0.25579936
99,11.978,19.077,19.838,1.00,0.00,0.45284669
100,13.850,20.203,21.055,1.00,0.00,0.38606225
101,14.940,20.228,21.109,1.00,0.00,0.39439825
102,13.397,19.492,21.749,1.00,0.00,0.54535048
103,13.259,21.508,21.244,1.00,0.00,0.55775083
104,13.797,22.223,20.897,1.00,0.00,0.77214861
105,13.861,13.315,18.793,1.00,0.00,0.35316565
106,13.726,12.224,18.910,1.00,0.00,0.56755275
107,15.283,13.637,18.682,1.00,0.00,0.28572106
108,13.146,13.697,17.510,1.00,0.00,0.39443802
109,12.071,13.536,17.620,1.00,0.00,0.60123093
110,13.712,12.950,16.412,1.00,0.00,0.54556225
111,14.663,12.885,16.526,1.00,0.00,0.56670470
112,13.430,15.241,17.372,1.00,0.00,0.35619114
113,14.469,15.573,17.421,1.00,0.00,0.45752340
114,12.800,15.702,16.073,1.00,0.00,0.54141725
115,12.911,14.962,15.471,1.00,0.00,0.86827557
116,12.724,15.887,18.599,1.00,0.00,0.30442498
117,11.672,15.593,18.590,1.00,0.00,0.49444003
118,13.303,15.498,19.961,1.00,0.00,0.28758862
119,14.327,15.860,20.074,1.00,0.00,0.25675641
120,13.305,14.010,19.931,1.00,0.00,0.40811437
121,12.537,15.901,21.189,1.00,0.00,0.40348744
122,12.580,16.985,21.321,1.00,0.00,0.49623944
123,13.011,15.477,22.076,1.00,0.00,0.58229613
124,11.150,15.373,21.100,1.00,0.00,0.56796640
125,11.131,14.552,20.604,1.00,0.00,0.81450939
126,17.009,17.508,22.434,1.00,0.00,0.40176943
127,18.076,18.015,22.657,1.00,0.00,0.50394472
128,16.039,17.545,23.219,1.00,0.00,0.54311552
129,17.056,16.761,21.150,1.00,0.00,0.29110802
130,16.120,16.201,21.202,1.00,0.00,0.30693818
131,17.944,16.128,21.091,1.00,0.00,0.36612598
132,17.075,17.763,19.938,1.00,0.00,0.23507465
133,16.172,18.370,20.039,1.00,0.00,0.23799047
134,17.912,18.427,20.163,1.00,0.00,0.24070406
135,17.232,16.990,18.575,1.00,0.00,0.33568892
136,16.302,16.616,18.143,1.00,0.00,0.45110008
137,17.595,17.702,17.831,1.00,0.00,0.50276813
138,18.012,16.228,18.638,1.00,0.00,0.33201715
