,Etot,VDWAALS,EELEC,EPB,ECAVITY,name
0,-898.9863,-38.9342,535.3459,-1403.7592,8.3613,OA-G0-host-pb.txt
0,-899.042,-38.9342,535.3459,-1403.8437,8.39,OA-G1-host-pb.txt
0,-899.3098,-38.9342,535.3459,-1404.0423,8.3209,OA-G2-host-pb.txt
0,-899.0624,-38.9342,535.3459,-1403.8244,8.3503,OA-G3-host-pb.txt
0,-899.1529,-38.9342,535.3459,-1403.9134,8.3488,OA-G4-host-pb.txt
0,-899.0812,-38.9342,535.3459,-1403.812,8.3191,OA-G5-host-pb.txt
0,-899.0737,-38.9342,535.3459,-1403.8171,8.3317,OA-G6-host-pb.txt
0,-899.1048,-38.9342,535.3459,-1403.8519,8.3354,OA-G7-host-pb.txt
0,-941.2391,-45.6106,432.2248,-1336.5665,8.7131,TEMOA-G0-host-pb.txt
0,-941.1672,-45.6106,432.2248,-1336.4929,8.7115,TEMOA-G1-host-pb.txt
0,-941.1924,-45.6106,432.2248,-1336.5303,8.7236,TEMOA-G2-host-pb.txt
0,-941.1017,-45.6106,432.2248,-1336.3947,8.6787,TEMOA-G3-host-pb.txt
0,-941.2803,-45.6106,432.2248,-1336.6298,8.7352,TEMOA-G4-host-pb.txt
0,-941.0692,-45.6106,432.2248,-1336.4007,8.7173,TEMOA-G5-host-pb.txt
0,-941.17,-45.6106,432.2248,-1336.4686,8.6843,TEMOA-G6-host-pb.txt
0,-941.2529,-45.6106,432.2248,-1336.5812,8.714,TEMOA-G7-host-pb.txt
0,1498.8848,-49.0064,1726.3218,-184.5809,6.1504,CB8-G0-host-pb.txt
0,1499.346,-49.0064,1726.3218,-184.1858,6.2165,CB8-G1-host-pb.txt
0,1498.6983,-49.0064,1726.3218,-184.8602,6.2432,CB8-G2-host-pb.txt
0,1498.8236,-49.0064,1726.3218,-184.702,6.2103,CB8-G3-host-pb.txt
0,1498.5382,-49.0064,1726.3218,-185.0193,6.2421,CB8-G4-host-pb.txt
0,1499.0606,-49.0064,1726.3218,-184.4626,6.2079,CB8-G5-host-pb.txt
0,1499.0505,-49.0064,1726.3218,-184.5433,6.2785,CB8-G6-host-pb.txt
0,1499.0719,-49.0064,1726.3218,-184.5312,6.2877,CB8-G7-host-pb.txt
0,1498.8121,-49.0064,1726.3218,-184.7117,6.2084,CB8-G8-host-pb.txt
0,1499.1331,-49.0064,1726.3218,-184.4052,6.223,CB8-G9-host-pb.txt
0,1499.2301,-49.0064,1726.3218,-184.3334,6.2481,CB8-G10-host-pb.txt
0,1499.0875,-49.0064,1726.3218,-184.5221,6.2942,CB8-G11-host-pb.txt
0,1498.63,-49.0064,1726.3218,-184.9021,6.2167,CB8-G12-host-pb.txt
