,effective-born-radii
0,0.35739486
1,0.55207172
2,0.28037102
3,0.38692094
4,0.59260049
5,0.54930214
6,0.60935889
7,0.35038178
8,0.44854822
9,0.53693932
10,0.86932692
11,0.31051238
12,0.50375797
13,0.29666788
14,0.26173085
15,0.43045976
16,0.39853691
17,0.43829812
18,0.59263693
19,0.55791486
20,0.88254482
21,0.35965862
22,0.55801812
23,0.30618514
24,0.40002538
25,0.61993630
26,0.54110627
27,0.67122852
28,0.35354950
29,0.46919630
30,0.52721406
31,0.85776987
32,0.31501422
33,0.51089102
34,0.31304733
35,0.32810480
36,0.44048524
37,0.43138769
38,0.52785198
39,0.62026767
40,0.56780478
41,0.96165330
42,0.35569320
43,0.56239043
44,0.33714007
45,0.39074368
46,0.60047266
47,0.54718924
48,0.62426304
49,0.37069077
50,0.51907858
51,0.54819475
52,0.91680514
53,0.31973919
54,0.50630908
55,0.31010221
56,0.36800726
57,0.42307379
58,0.41603896
59,0.47687057
60,0.60903567
61,0.55163739
62,0.93948168
63,0.35216660
64,0.55377548
65,0.29783252
66,0.39428843
67,0.59681009
68,0.55844117
69,0.67730589
70,0.36490388
71,0.51575214
72,0.53624677
73,0.87199209
74,0.31212313
75,0.47152341
76,0.32432898
77,0.39552574
78,0.43550721
79,0.42799135
80,0.54024818
81,0.61636475
82,0.55622044
83,0.95033674
84,0.35936929
85,0.57266565
86,0.27458708
87,0.38788756
88,0.61142211
89,0.53015347
90,0.52855944
91,0.34157018
92,0.39033683
93,0.52727531
94,0.87988534
95,0.30784589
96,0.49697648
97,0.30581254
98,0.31834841
99,0.42939495
100,0.42021446
101,0.54712747
102,0.59354621
103,0.55812480
104,0.96406920
105,0.36144669
106,0.56191590
107,0.28882032
108,0.39317041
109,0.60313519
110,0.55167851
111,0.89213733
112,0.34689091
113,0.46973919
114,0.53225319
115,0.85010662
116,0.30639604
117,0.49451723
118,0.29945225
119,0.26648615
120,0.43974690
121,0.40829391
122,0.45706012
123,0.59182763
124,0.56181629
125,0.88325641
126,0.35558919
127,0.56276734
128,0.27636984
129,0.39057734
130,0.61304112
131,0.52333811
132,0.47957905
133,0.34800204
134,0.42266201
135,0.54380283
136,0.90465958
137,0.31902530
138,0.52152177
139,0.30362817
140,0.26829538
141,0.44667805
142,0.40531499
143,0.42416355
144,0.57379290
145,0.57308444
146,0.87207616
147,0.34775651
148,0.58412750
149,0.28104121
150,0.29207549
151,0.33693385
152,0.49250111
153,0.34279056
154,0.29201678
155,0.29081485
156,0.31668117
157,0.43497471
158,0.43784951
159,0.56253040
160,0.57552187
